Date,User,Goal,Weight (kg),Body Fat %,Muscle Mass (kg),Fat Mass (kg),Waist (cm),Chest (cm),Arms (cm),Thighs (cm),Cardio Minutes,Strength Training Minutes,Steps,Calories Consumed,Protein (g),Water (L),Sleep Hours,Notes
2026-01-13 00:00:00,Marina,Fat Loss,60.0,20.0,48.0,12.0,,,,,,,,,,,,
2026-01-14 00:00:00,AR7,Fat Loss,77.1,18.0,32.2,13.877999999999998,,,,,,,,,,,,
2026-01-15 00:00:00,napo,Fat Loss,118.8,20.0,73.0,24.2,,,,,,,,,,,,
2026-01-19 00:00:00,napo,Fat Loss,114.0,18.95,71.2,21.603,,,,,,,,,,,,
2026-01-22 00:00:00,napo,Fat Loss,116.8,19.21,73.0,22.43728,,,,,,,,,,,,
2026-02-25 00:00:00,AR7,Fat Loss,77.6,18.3,32.3,14.2008,,,,,,,,,,,,
2026-03-05 00:00:00,napo,Fat Loss,126.0,21.96,86.0,27.669600000000003,,,,,,,,,,,,
2026-03-24 00:00:00,AR7,Fat Loss,78.0,18.1,32.4,14.118000000000002,,,,,,,,,,,,
